,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
136,7800,Diésel,2013.0,165000,128.5,False,Andalucía,Standard,suv_pequeno
137,1200,Diésel,2005.0,70000,110.0,False,Navarra,Standard,sedan_grande
138,4300,Diésel,2009.0,146000,110.0,True,Andalucía,Standard,otro
139,4690,Gasolina,2005.0,299030,129.0,True,Catalunya,Premium,compacto_pequeno
140,17790,Gasolina,2020.0,0,140.0,True,Comunidad_Valenciana,Standard,suv_pequeno
141,8500,Diésel,2008.0,203000,170.32142857142858,False,Comunidad_de_Madrid,Premium,sedan_pequeno
142,17700,Gasolina,2020.0,14167,120.0,True,Andalucía,Standard,compacto_grande
143,7499,Gasolina,2014.0,18305,86.0,True,Comunidad_de_Madrid,Standard,compacto_pequeno
144,14400,Gasolina,2020.0,9322,100.0,True,Galicia,Low_Cost,compacto_pequeno
145,2500,Diésel,2005.0,140600,131.66304347826087,False,Andalucía,Standard,sedan_grande
146,12990,Diésel,2014.0,68000,165.0,True,Catalunya,Low_Cost,otro
147,7899,Diésel,2015.0,61931,92.0,True,Andalucía,Standard,otro
149,7500,Gasolina,2003.0,116567,218.0,False,Comunidad_de_Madrid,Premium,sedan_pequeno
150,28990,Diésel,2020.0,5,130.0,True,Catalunya,Low_Cost,suv_grande
151,7990,Gasolina,2002.0,161000,118.0,False,Canarias,Standard,otro
152,6700,Diésel,2008.0,97000,110.0,True,Castilla_y_León,Standard,compacto_pequeno
153,20990,Diésel,2019.0,37120,116.0,True,Comunidad_de_Madrid,Premium,compacto_pequeno
154,13000,Gasolina,2013.0,225000,108.33333333333331,False,Comunidad_de_Madrid,Mid_Premium,sedan_pequeno
155,6800,Diésel,2003.0,229000,168.64705882352942,False,Andalucía,Standard,otro
157,20500,Diésel,2019.0,30,136.0,True,Andalucía,Low_Cost,compacto_grande
158,22500,Gasolina,2020.0,5,120.0,True,Castilla_y_León,Standard,suv_pequeno
159,7490,Gasolina,2014.0,102200,100.0,True,País_Vasco,Low_Cost,compacto_pequeno
160,12000,Gasolina,1997.0,170000,141.0,False,Catalunya,Standard,otro
161,6900,Diésel,2006.0,146000,150.0,True,Comunidad_de_Madrid,Premium,sedan_pequeno
162,14400,Diésel,2014.0,128319,150.0,True,Castilla_La_Mancha,Mid_Premium,compacto_grande
163,22900,Gasolina,2017.0,33000,208.0,True,Galicia,Mid_Premium,compacto_grande
164,5200,Diésel,2010.0,170000,109.0,False,Catalunya,Mid_Premium,sedan_pequeno
165,25990,Diésel,2016.0,66000,150.0,True,Castilla_y_León,Mid_Premium,sedan_grande
166,24900,Gasolina,2019.0,6599,181.0,True,Comunidad_Valenciana,Standard,sedan_grande
167,6900,Diésel,2014.0,122000,110.0,False,Andalucía,Low_Cost,compacto_grande
168,11990,Diésel,2011.0,98500,140.0,False,Andalucía,Mid_Premium,coupe_pequeno
169,4500,Gasolina,1992.0,180000,132.0,False,Navarra,Premium,otro
170,19910,Gasolina,2018.0,144500,180.0,True,Comunidad_Valenciana,Standard,sedan_grande
171,2500,Diésel,2006.0,250000,123.8181818181818,False,La_Rioja,Standard,otro
172,22000,Diésel,2016.0,60000,190.0,True,Andalucía,Premium,suv_pequeno
173,11700,Diésel,2014.0,150000,139.46621621621622,False,Catalunya,Low_Cost,sedan_grande
174,8700,Gasolina,2017.0,55600,85.0,True,Región_de_Murcia,Standard,compacto_pequeno
175,750,Diésel,1998.0,180000,108.4,False,Catalunya,Standard,sedan_grande
176,15500,Diésel,2018.0,39000,120.0,False,Catalunya,Standard,otro
177,28950,Eléctrico,2020.0,6000,150.0,True,Aragón,Standard,sedan_pequeno
178,9750,Diésel,2013.0,135000,116.0,False,Comunidad_Valenciana,Premium,compacto_pequeno
179,5500,Diésel,2013.0,271000,75.0,False,Comunidad_de_Madrid,Standard,furgon_trabajo
180,4900,Gasolina,2006.0,188000,115.0,False,Andalucía,Premium,compacto_pequeno
