,Marca,Modelo,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,dealer,Comunidad_Autonoma
38,RENAULT,Captur,11500,Gasolina,2018.0,31242,90.0,False,a08372b70196c21a9229cf04db6b7ceb,Canarias
39,CITROEN,C5,2700,Diésel,2006.0,205583,110.0,False,a7a1b335247554be6612f583e32b64cb,Extremadura
40,KIA,ceed,20700,Diésel,2020.0,15,115.0,True,Valgauto Motor Valencia,Comunidad_Valenciana
41,VOLKSWAGEN,Touran,7000,Diésel,2009.0,190000,121.58181818181818,False,b1dbcbd57e27e25b7b3cf6bbc16dd566,Comunidad_Valenciana
42,FORD,Focus,18200,Gasolina,2020.0,10,125.0,True,Autobages,Catalunya
43,SEAT,Ibiza,650,Gasolina,1993.0,185000,88.73988439306359,False,7efd721c8bfff2937c66235f2d0dbac1,Comunidad_Valenciana
44,MERCEDES-BENZ,Clase B,42200,Diésel,2020.0,5,150.0,True,Merbauto,Comunidad_de_Madrid
45,BMW,X1,20990,Diésel,2017.0,49509,150.0,True,Clicars,Comunidad_de_Madrid
46,VOLKSWAGEN,Passat,10990,Diésel,2016.0,170000,150.0,False,464e07afc9e46359fb480839150595c5,Andalucía
47,VOLKSWAGEN,Golf,15900,Diésel,2015.0,149000,150.0,True,MinoAutos,Galicia
48,OPEL,Astra,17900,Gasolina,2020.0,6200,110.0,True,Auto Gata,Comunidad_Valenciana
49,AUDI,A1,11700,Diésel,2013.0,119000,90.0,True,Tu Coche,Aragón
50,FORD,Focus C-MAX,3950,Diésel,2006.0,113000,109.0,True,Bienvenido Vázquez,Andalucía
51,SSANGYONG,Rodius,18290,Diésel,2017.0,78000,178.0,True,HERNAN AUTOMOCION,Comunidad_de_Madrid
52,MERCEDES-BENZ,Clase V,74100,Diésel,2020.0,0,239.0,True,Concesur,Andalucía
53,NISSAN,LEAF,21900,Eléctrico,2019.0,25000,150.0,True,Ahura Motor,Canarias
54,MERCEDES-BENZ,Clase C,12800,Diésel,2012.0,276000,170.0,False,7ff135854376850e9711bd75ce942e07,Comunidad_de_Madrid
55,AUDI,S4,13800,Gasolina,2006.0,127747,344.0,True,Ocasion Plus,País_Vasco
56,HYUNDAI,Kona,22900,Gasolina,2020.0,12000,141.0,True,Almoauto Motor Hyundai,Comunidad_de_Madrid
57,OPEL,Astra,5000,Gasolina,1994.0,230000,124.13658536585366,False,b70e2a0d855b4dc7b1ea34a8a9d10305,Comunidad_Valenciana
58,FORD,Focus,1250,Diésel,2003.0,299500,100.0,True,Juan Artacho Reina,Andalucía
59,SAAB,9-3,5000,Diésel,2011.0,164,149.375,False,f0c9a442ef67e81b3a1340ae95700eb3,Canarias
60,RENAULT,Clio,12300,Diésel,2017.0,42000,75.0,True,Gupicar Auto,Castilla_La_Mancha
61,VOLKSWAGEN,Passat,22000,Diésel,2016.0,133800,240.0,False,ee3ceb89e494c789269b3f4cf463e9e2,Comunidad_de_Madrid
62,FORD,C-Max,13990,Diésel,2015.0,55698,120.0,True,SALA MOTORS,Catalunya
63,RENAULT,Kadjar,21490,Gasolina,2020.0,9629,140.0,True,Vidal de la Peña Automoviles,Cantabria
64,MAZDA,MX-30,29700,Eléctrico,2020.0,3400,146.0,True,Pontecar,Galicia
65,AUDI,A5,30990,Gasolina,2016.0,36990,177.0,True,Flexicar Málaga,Andalucía
