,Marca,Modelo,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,dealer,Comunidad_Autonoma
5196,OPEL,Corsa,17100,Diésel,2020.0,10,102.0,True,Vara de Quart,Comunidad_Valenciana
5197,BMW,Serie 3,1700,Diésel,2001.0,3318,170.32142857142858,False,662eaa47199461d01a623884080934ab,Comunidad_Valenciana
5198,MINI,MINI,16700,Diésel,2016.0,82000,116.0,False,e9829608dd90ff6b8bf7cb50746eae78,Castilla_y_León
5199,SSANGYONG,Rodius,9300,Diésel,2011.0,112000,165.0,False,34646c4a11013177f2d124f595d7ef50,Andalucía
5200,FIAT,500,11140,Gasolina,2019.0,10932,69.0,True,Comauto Sport Castellon,Comunidad_Valenciana
5201,BMW,Serie 3,16190,Diésel,2015.0,105000,143.0,True,Flexicar Sevilla,Andalucía
5202,TOYOTA,Rav4,24890,Híbrido,2016.0,29373,197.0,True,DL Starbaix,Catalunya
5203,SEAT,Arona,17500,Diésel,2019.0,36000,115.0,True,Fecosauto S.A,Catalunya
5204,RENAULT,Scenic,17500,Diésel,2017.0,48271,110.0,True,KARFER MOTOR,Comunidad_de_Madrid
5205,PEUGEOT,2008,15400,Gasolina,2016.0,38331,110.0,True,Gaztelu Ocasión,País_Vasco
5206,SEAT,Cordoba,600,Diésel,1998.0,2000000,96.0,False,40c91ac55bd78297554a38cafa065f07,Comunidad_Valenciana
5207,BMW,Serie 5,11000,Gasolina,2009.0,137000,272.0,False,f90a63619a8c8f89c4789935d0a08af0,Castilla_y_León
5208,BMW,Serie 1,17400,Gasolina,2018.0,19750,109.0,True,Grupo Breogán,Galicia
5209,CITROEN,C3,9650,Gasolina,2018.0,10286,82.0,True,OK Cars,Andalucía
5210,RENAULT,Scenic,4990,Diésel,2008.0,138300,130.0,True,Mansory Cars,País_Vasco
5211,AUDI,SQ5,39900,Diésel,2016.0,53322,326.0,True,World Wide Auto,Catalunya
5212,MERCEDES-BENZ,Clase M,5500,Diésel,2005.0,185000,211.97590361445785,False,41b8ec20586541e7bdf5164520bce465,Comunidad_de_Madrid
5213,FIAT,Panda,2700,Diésel,2006.0,138476,70.0,True,Vehículos de Ocasión,Extremadura
5214,HONDA,Jazz,23850,Gasolina,2020.0,1,109.0,True,Sucar Motor,Comunidad_de_Madrid
5215,LAND-ROVER,Freelander,3500,Diésel,2004.0,357000,112.0,False,ded894a2a93e86561a60193405d37af5,Catalunya
5216,MERCEDES-BENZ,Clase CLA,24900,Gasolina,2015.0,107000,211.0,False,82233bce59652cf3cc0eb7a03f3109d1,Comunidad_de_Madrid
5217,BMW,X1,27900,Diésel,2018.0,55000,150.0,False,a14f8a540e78dae706d255750010a0f8,Comunidad_de_Madrid
5218,MERCEDES-BENZ,Clase C,43990,Híbrido enchufable,2018.0,7800,279.0,True,Flexicar Fuenlabrada,Comunidad_de_Madrid
5219,MERCEDES-BENZ,Clase C,4950,Diésel,2002.0,195000,170.0,True,MID Car,Comunidad_de_Madrid
5220,FORD,Fiesta,4200,Gasolina,2007.0,135434,94.73568281938326,False,84040aae88ba74d2f5fae13662ec9afa,Canarias
5221,CITROEN,Saxo,4300,Gasolina,2001.0,194000,64.28571428571429,False,797a45e685f199819cfb07c6e2b8502d,Catalunya
5222,BMW,Serie 3,2200,Diésel,2002.0,248000,150.0,False,a51a5dfdb7659050dfc444c602f032b9,Comunidad_Valenciana
5223,AUDI,A4,18990,Diésel,2015.0,139662,150.0,True,Arrojo,Galicia
5224,ALFA ROMEO,Giulia,17990,Diésel,2017.0,21000,150.0,True,GESTICAR GAVA,Catalunya
5225,CITROEN,C3,13150,Gasolina,2020.0,6900,82.0,True,Ok Cars,Comunidad_Valenciana
5226,NISSAN,QASHQAI,14990,Gasolina,2018.0,24000,115.0,True,Gestican Automoviles,Canarias
5227,BMW,Serie 2 Gran Tourer,21975,Diésel,2016.0,97174,150.0,True,BMW / MINI Oliva Motor Girona,Catalunya
5228,FORD,Transit Custom,14900,Diésel,2017.0,110000,105.0,True,Edu Motor,Comunidad_Valenciana
5229,CHEVROLET,Captiva,5900,Diésel,2007.0,120000,150.0,False,f96d67490c6bb34ff93924c89e159b03,Comunidad_Valenciana
5230,SEAT,Ibiza,700,Gasolina,2004.0,149543,75.0,False,9aba45a7f1999a9c5fc96ef2a45810fb,Canarias
5231,RENAULT,Megane,3495,Diésel,2007.0,132261,108.679012345679,False,33d1512f03dbf52821d9991562fa46b0,Andalucía
5232,NISSAN,QASHQAI,13500,Diésel,2016.0,113000,110.0,True,Ibsauto,Catalunya
5233,BMW,X5,27990,Diésel,2015.0,149900,258.0,True,Seseña Automoviles,Castilla_y_León
5234,BMW,X1,16590,Diésel,2013.0,88457,143.0,True,Talleres Angel Raimundo Sl,Castilla_y_León
5235,FORD,EcoSport,20250,Gasolina,2018.0,0,125.0,True,Motorauto Leganes,Comunidad_de_Madrid
5236,MINI,MINI,8890,Diésel,2013.0,130000,90.0,True,Automóviles Cárdenas,Catalunya
5237,VOLKSWAGEN,Golf,11900,Diésel,2016.0,90045,110.0,True,F Tome Dasweltauto,Comunidad_de_Madrid
5238,BMW,Serie 3,15900,Diésel,2014.0,140000,143.0,True,Procar Tech Automóviles,Navarra
5239,CITROEN,C4 Picasso,3000,Diésel,2007.0,170000,118.11458333333331,False,69df29f1ba6b688451b8495fb924b8f1,Andalucía
5240,MERCEDES-BENZ,Clase A,17800,Diésel,2017.0,138000,109.0,True,RS Motor,Andalucía
5241,HYUNDAI,i40,11490,Diésel,2015.0,105700,115.0,True,Compra Venta Barrientos,Castilla_y_León
5242,OPEL,Corsa,8200,Gas licuado (GLP),2018.0,29000,90.0,True,Ald Automotive,Comunidad_de_Madrid
5243,OPEL,Corsa,7990,Gasolina,2017.0,73600,90.0,True,RIVERA SELECTION - CONCESIONARIO MULTIMARCA,Canarias
5244,FORD,Focus,13990,Gasolina,2018.0,55683,125.0,True,Grupo Montalt,Región_de_Murcia
5245,NISSAN,QASHQAI,23300,Gasolina,2019.0,4589,140.0,True,Romovil (Nissan),Castilla_La_Mancha
5246,PEUGEOT,308,12490,Diésel,2017.0,59990,100.0,True,Flexicar Barcelona,Catalunya
5247,BMW,Serie 3,22900,Gasolina,1995.0,73000,285.0,False,e2b256574907781e599f74071a00cafe,Catalunya
5248,VOLKSWAGEN,Golf,17990,Diésel,2019.0,11272,115.0,True,F. Tome Autocasion,Comunidad_de_Madrid
5249,NISSAN,Terrano II,7000,Diésel,2002.0,200000,125.0,False,f08f8b83b217ba93531a2ce57b748cd5,Castilla_y_León
5250,BMW,Serie 3,9500,Diésel,2011.0,178000,170.32142857142858,False,464e07afc9e46359fb480839150595c5,Región_de_Murcia
5251,FORD,Mondeo,1500,Diésel,2006.0,274000,130.0,True,JCars.es,Comunidad_Valenciana
5252,FORD,Puma,20900,Híbrido,2020.0,1000,125.0,True,Automoviles Y Talleres Andres,Comunidad_Valenciana
5253,VOLKSWAGEN,Golf,2950,Gasolina,2009.0,190000,168.22435897435898,False,aa47f8215c6f30a0dcdb2a36a9f4168e,Canarias
5254,RENAULT,Zoe,8990,Eléctrico,2015.0,46748,88.0,True,Flexicar Hospitalet de Llobregat,Catalunya
5255,DACIA,Logan,4750,Diésel,2009.0,60838,70.0,True,Ocasion Plus,Comunidad_Valenciana
5256,BMW,Serie 1,7480,Diésel,2007.0,90000,177.0,True,Autos Lliça,Catalunya
5257,PEUGEOT,208,8300,Diésel,2016.0,117000,75.0,True,Automoviles Sebauto,Extremadura
5258,RENAULT,Megane,3200,Diésel,2010.0,285000,130.0,False,1d75c60d7d9c417e11786ad9d361c9e2,Comunidad_de_Madrid
5259,VOLKSWAGEN,Golf,3800,Gasolina,1991.0,280000,168.22435897435898,False,70483b6e100c9cebbffcdc62dea07eda,Canarias
5260,HYUNDAI,i10,11300,Gasolina,2019.0,22500,66.0,True,BR Car,Catalunya
5261,FIAT,Croma,2950,Diésel,2010.0,310000,120.0,False,a95f7f9250f996cc58391cb98284532e,Andalucía
5262,HONDA,CR-V,7000,Diésel,2010.0,235000,150.0,True,Ortiz Ocasión,Cantabria
5263,CITROEN,C5,1250,Diésel,2003.0,244000,110.0,False,9c64f411d1f74905834ca489c4eb98b0,Castilla_La_Mancha
5264,HYUNDAI,i30,21100,Gasolina,2021.0,18,120.0,True,Hyundai Leuka Car Alicante / Grupo Marcos,Comunidad_Valenciana
5265,CITROEN,C3 Aircross,12790,Gasolina,2018.0,38972,82.0,True,Rondamovil,Andalucía
5266,CITROEN,C4,3500,Diésel,2006.0,175000,138.0,True,Auto San Carlos,Catalunya
5267,RENAULT,Megane,1000,Gasolina,2003.0,203000,142.70093457943926,False,2e71b7db4db931ca94aef207a97527d2,Galicia
5268,OPEL,Astra,1900,Gasolina,2005.0,151000,105.0,False,fced3ab2fe78f9e38c519752c2cb4b1c,Comunidad_de_Madrid
5269,BMW,Serie 8,173800,Gasolina,2020.0,100,625.0,True,Automotive Business,Comunidad_Valenciana
5270,BMW,Serie 2 Active Tourer,18900,Diésel,2015.0,52285,190.0,True,Ocasion Plus,Comunidad_de_Madrid
5271,VOLKSWAGEN,Polo,5000,Diésel,2010.0,230000,90.0,False,e57e6fd667738fd78c9dfead41b447eb,Catalunya
5272,TOYOTA,Yaris,4900,Gasolina,2009.0,86000,87.0,False,94dacad2c3966b6a2c05da476288b06b,Comunidad_de_Madrid
5273,FIAT,Fiorino,13990,Diésel,2020.0,1,80.0,True,Velconi,Aragón
5274,OPEL,Adam,13800,Gasolina,2015.0,54000,150.0,False,96878140021fa8de92ba377bfc047dda,Comunidad_Valenciana
5275,VOLKSWAGEN,Golf,13500,Diésel,2016.0,105000,110.0,True,Prieto Automoviles,Castilla_La_Mancha
5276,RENAULT,Clio,11700,Diésel,2017.0,75000,90.0,True,Leomotor Lugones,Principado_de_Asturias
5277,PORSCHE,Macan,101900,Gasolina,2021.0,10,354.0,True,Driver Cars Barcelona,Catalunya
5278,FORD,Mondeo,3500,Gasolina,2008.0,186000,145.0,False,ba952731f97fb058035aa399b1cb3d5c,Aragón
5279,LAND-ROVER,Range Rover Velar,45900,Diésel,2017.0,69000,240.0,True,Ruta 66,Comunidad_de_Madrid
5280,TOYOTA,Land Cruiser,17990,Diésel,2007.0,300900,173.0,True,Flexicar Barcelona,Catalunya
5281,BMW,Serie 3,5500,Diésel,2007.0,250000,122.0,False,a439bd911df8e9b02a8ede6bf6a069f6,Andalucía
5282,MERCEDES-BENZ,Clase E,7900,Diésel,2003.0,213,204.0,False,cab6a8e7e104eced827abe8ad17dc5b2,País_Vasco
5283,BMW,Serie 3,3800,Gasolina,2004.0,243483,143.0,False,cd9c358d567d5e8633aa923ce3152e92,Castilla_y_León
5284,MAZDA,CX-7,11900,Gasolina,2008.0,75000,260.0,True,Automóviles E.Atoche,Andalucía
5285,AUDI,A3,25250,Híbrido enchufable,2018.0,38382,204.0,True,Ocasion Plus,Comunidad_Valenciana
5286,MERCEDES-BENZ,Clase SLK,10000,Gasolina,2004.0,206000,163.0,False,078c007bd92ddec308ae2f5115c1775d,Castilla_La_Mancha
5287,NISSAN,Terrano II,5390,Diésel,2000.0,310000,125.0,False,4c362cfd7699baebc58d9770e29b59e7,Comunidad_de_Madrid
5288,SKODA,Octavia,14990,Diésel,2017.0,74700,116.0,True,Mourente Motor,Galicia
5289,VOLVO,V50,4695,Diésel,2008.0,200000,136.0,True,Autos Weston,Comunidad_de_Madrid
5290,CITROEN,C3,14300,Diésel,2019.0,100,99.0,True,Autos J. Rivada,Galicia
5291,VOLKSWAGEN,Beetle,10400,Gasolina,2013.0,112250,105.0,True,GARANTYCARS,Comunidad_Valenciana
5292,VOLKSWAGEN,Golf,2600,Diésel,2002.0,201000,110.0,False,e048f419e83cc9de419d09efd73cd3aa,Andalucía
5293,LEXUS,NX,23900,Híbrido,2016.0,104130,197.0,True,CSM Grup Ocasión,Catalunya
5294,FORD,Focus,1500,Diésel,2007.0,264000,115.0,False,c4d5bf88d005a6f9667aff171cb0180f,Catalunya
5295,NISSAN,Micra,13490,Diésel,2017.0,12000,90.0,True,Automóviles Belzuz,Catalunya
5296,PEUGEOT,308,3900,Diésel,2009.0,188000,115.797583081571,False,55b7e8b895d047537e672250dd781555,Catalunya
5297,KIA,Picanto,10800,Gasolina,2021.0,1,67.0,True,Semprocar Kia Nuevos Granollers Martorell Mollet,Catalunya
5298,MINI,CLUBMAN,17980,Diésel,2016.0,49695,116.0,True,Integral Motion,Galicia
5299,BMW,X4,50300,Diésel,2019.0,14362,190.0,True,Augusta Aragon,Aragón
5300,MERCEDES-BENZ,Clase M,13800,Diésel,2007.0,178000,190.0,True,Quality Cars,Comunidad_Valenciana
5301,OPEL,Zafira,5700,Diésel,2007.0,40000,122.96774193548389,False,79162b02a4adef009a7d8214aaaafec5,Andalucía
5302,AUDI,A3,16900,Diésel,2013.0,74000,150.0,True,Autos Rosas,Galicia
5303,MERCEDES-BENZ,Clase C,31900,Diésel,2019.0,43451,194.0,True,Gazpi Mercedes-Benz,Navarra
5304,FIAT,Punto,1700,Diésel,2007.0,240000,70.0,False,9f6cc4d609cf59fc84db9ff39c4e56ae,Comunidad_de_Madrid
5305,OPEL,Mokka X,14990,Gasolina,2019.0,25000,140.0,True,Auto88,Catalunya
5306,RENAULT,Laguna,3000,Diésel,2008.0,312000,130.0,False,ab02fceb9689114b1cd1844e456c0695,Comunidad_Valenciana
5307,CITROEN,Grand C4 Picasso,3400,Diésel,2009.0,250000,110.0,True,Royal Motor,Navarra
5308,VOLKSWAGEN,Passat,16850,Diésel,2017.0,61274,120.0,True,Ocasion Plus,Comunidad_Valenciana
5309,MAZDA,Mazda3,20490,Diésel,2019.0,9990,150.0,True,Flexicar Sevilla,Andalucía
5310,KIA,Stonic,14990,Gasolina,2018.0,23900,120.0,True,Talleres Hermindo S.L,Galicia
5311,MERCEDES-BENZ,Clase SL,51900,Gasolina,2014.0,73000,306.0,True,Mercedes Gerencia,Comunidad_de_Madrid
5312,BMW,Serie 3,13000,Diésel,2014.0,128000,143.0,True,AUTOSALJARAFE,Andalucía
5313,AUDI,Q7,11500,Diésel,2007.0,226000,233.0,True,Automóviles De Ocasión,Extremadura
5314,RENAULT,Scenic,6490,Gasolina,2014.0,112743,115.0,True,BELLEZACAR,Comunidad_de_Madrid
5315,FORD,Grand C-Max,12480,Diésel,2015.0,124000,120.0,True,Automoviles Hernandez,Andalucía
5316,VOLKSWAGEN,Passat,1590,Diésel,2001.0,295761,130.0,True,Premium Cars Iberia,Comunidad_de_Madrid
5317,CITROEN,C4 Picasso,12900,Gasolina,2015.0,74857,130.0,True,CARSYDREU.com,Comunidad_de_Madrid
5318,LAND-ROVER,Range Rover Sport,45500,Diésel,2016.0,83000,306.0,True,Auzasa Automóviles,Castilla_y_León
5319,OPEL,Combo,8249,Diésel,2016.0,47315,90.0,True,Bella Machina,Comunidad_de_Madrid
5320,FORD,Focus,25400,Diésel,2020.0,1,150.0,True,Ford Deysa Torrejón de Ardoz,Comunidad_de_Madrid
5321,AUDI,A3,27890,Diésel,2019.0,29155,150.0,True,"Sealco Motor, S.A.",Comunidad_de_Madrid
5322,BMW,Serie 3,3200,Diésel,2001.0,221550,136.0,False,464e07afc9e46359fb480839150595c5,Comunidad_Valenciana
5323,HYUNDAI,i30,5900,Gasolina,2012.0,82000,133.07,False,a36084956f645fca1b4be14a542e2ae7,Islas_Baleares
5324,KIA,Picanto,8700,Gasolina,2019.0,28488,67.0,True,Automotor RAM,Comunidad_de_Madrid
5325,FORD,Transit,3600,Diésel,2005.0,124000,122.33783783783784,False,efc3f9e987651c069d337b50ede4ccda,Comunidad_Valenciana
5326,VOLVO,S40,2750,Diésel,2007.0,292000,136.0,False,cf419344b5ac55b12e2163c1fd87f953,Andalucía
5327,FORD,Tourneo Courier,15700,Diésel,2020.0,0,100.0,True,Almoauto,Comunidad_de_Madrid
5328,SEAT,Ateca,20790,Diésel,2019.0,33703,115.0,True,Clicars,Comunidad_de_Madrid
5329,MASERATI,GranCabrio,89800,Gasolina,2013.0,46000,460.0,True,Besancall,Comunidad_de_Madrid
5330,MERCEDES-BENZ,Clase V,31900,Diésel,2017.0,50000,136.0,True,Talleres J.Lema,Galicia
5331,SEAT,Leon,500,Diésel,2003.0,298000,124.0846394984326,False,15c6d8e89899b0dc606d2498d102bd71,Comunidad_de_Madrid
5332,CITROEN,Xsara,2990,Diésel,2005.0,125000,90.0,True,Damicar,Aragón
5333,VOLKSWAGEN,Polo,14999,Gasolina,2020.0,1990,95.0,True,Automóviles Fresser Multimarca,Catalunya
5334,HYUNDAI,Sonata,3500,Diésel,2007.0,271000,140.0,False,37905b9b4fdb8fa311b30448254d51fe,Comunidad_de_Madrid
5335,FORD,S-MAX,28990,Diésel,2020.0,0,150.0,True,Clicars,Comunidad_de_Madrid
5336,BMW,Serie 8,3500,Gasolina,2006.0,160,482.6666666666667,False,cbc19b07662418d5f14cc55657295924,Andalucía
5337,AUDI,A3,7900,Diésel,2005.0,199870,140.0,True,Grupo Roixal Automocion,Galicia
5338,BMW,X3,20450,Diésel,2015.0,44000,150.0,True,CSV Motor Sevilla,Andalucía
5339,BMW,Serie 1,14490,Diésel,2016.0,97000,116.0,True,Europa Autos,Andalucía
5340,LEXUS,RX400h,12900,Híbrido,2009.0,96000,272.0,False,c44688b5061756b3cca2b86c016a1535,Comunidad_de_Madrid
5341,PEUGEOT,508,5800,Diésel,2012.0,229000,140.0,False,c22e5e68349eac8df8c2799b0cc4c161,Navarra
5342,AUDI,RS6,31900,Gasolina,2008.0,150000,580.0,False,f642fa88a7d86bf07d64744c433e6354,Catalunya
5343,VOLKSWAGEN,Golf,11500,Diésel,2013.0,123000,121.5489566613162,False,651faef175451b43088ed6fab4aab961,Andalucía
5344,HYUNDAI,i30,4450,Gasolina,2010.0,71000,126.0,True,Merida Motor Malaga,Andalucía
5345,AUDI,A3,23000,Diésel,2016.0,59000,150.0,False,92ba5a172fce1cca9e4dab9cd24530ab,Comunidad_de_Madrid
5346,VOLKSWAGEN,Beetle,26990,Gasolina,2014.0,22990,160.0,True,Ewagen Classic&Sportcars,Comunidad_de_Madrid
5347,RENAULT,Megane,18500,Gasolina,2018.0,22624,160.0,True,Gaursa,País_Vasco
5348,MERCEDES-BENZ,Viano,19200,Gasolina,2010.0,97800,258.0,False,5827e412ecfc61b42945a51d4310d3d9,Comunidad_de_Madrid
5349,BMW,X5,6850,Diésel,2002.0,240000,184.0,False,a81988a08dd193db4500ca48b40f7b16,Islas_Baleares
5350,NISSAN,Primera,1300,Diésel,2005.0,310000,120.0,False,d51e3eb481ff7594adff5cea2e8aa70f,Comunidad_de_Madrid
5351,FORD,Focus,3800,Diésel,2007.0,236000,116.67323943661972,False,563222d66722ee386964aaac589ccb61,Comunidad_Valenciana
5352,MERCEDES-BENZ,Clase A,16900,Diésel,2015.0,69900,109.0,True,Santogal,Comunidad_de_Madrid
5353,BMW,Serie 1,17900,Diésel,2017.0,54461,116.0,True,AutoPremier Baviera,Comunidad_de_Madrid
5354,HONDA,Civic,17000,Gasolina,2017.0,80000,182.0,False,92eaf3719159c372f3d50337e0a14f57,Comunidad_de_Madrid
5355,AUDI,A5,26990,Diésel,2016.0,72000,190.0,True,Flexicar Málaga,Andalucía
5356,SSANGYONG,Rodius,19900,Diésel,2018.0,60811,178.0,True,Leadercar Levante S.L.,Comunidad_Valenciana
5357,BMW,Serie 3,5500,Gasolina,2006.0,101717,215.95910780669143,False,5a7187b925fd96c35e7e49fe18a79feb,Canarias
5358,MINI,MINI,6500,Diésel,2010.0,220000,110.0,False,3f5a69faf0367be56dfb23b17ae736a6,Catalunya
5359,LAND-ROVER,Range Rover Sport,10990,Diésel,2007.0,214675,190.0,True,Soteras Motor,Aragón
5360,BMW,Serie 3,17500,Gasolina,2009.0,162000,306.0,False,52985c6de535214f2a3ac0ff8b5827aa,Navarra
5361,BMW,Z4,35000,Gasolina,2013.0,64000,340.0,False,48a0572e6e7cfc81b428b18da87cf613,Castilla_La_Mancha
5362,SEAT,Ibiza,700,Gasolina,1992.0,333560,90.0,False,c56a358bee8f1efed603f5cb2c1ad124,Navarra
5363,CITROEN,C3,5500,Diésel,2013.0,164609,68.0,True,H&L MOTOR,Comunidad_Valenciana
5364,MAZDA,Mazda3,32900,Gasolina,2020.0,10,181.0,True,Mogacar Madrid,Comunidad_de_Madrid
5365,BMW,Serie 2 Active Tourer,23990,Híbrido enchufable,2018.0,42236,224.0,True,Flexicar Sevilla,Andalucía
5366,MERCEDES-BENZ,Clase A,19900,Diésel,2017.0,120000,136.0,True,Automóviles Martincar,Castilla_y_León
5367,VOLKSWAGEN,Tiguan,35900,Gasolina,2020.0,9845,150.0,True,TARRACOMOBIL,Catalunya
5368,KIA,Picanto,11900,Gasolina,2020.0,1,67.0,True,AutoSelectia,Andalucía
5369,MERCEDES-BENZ,Citan,10900,Diésel,2016.0,104000,90.0,True,Autolica,Catalunya
5370,CITROEN,Grand C4 Picasso,2900,Diésel,2007.0,253000,121.24475524475524,False,d40b913237b22c538b948e7e44aeb9cf,Andalucía
5371,MERCEDES-BENZ,Clase GLA,18699,Diésel,2014.0,146000,136.0,True,Gb Cars,Comunidad_Valenciana
5372,LEXUS,CT,18900,Híbrido,2018.0,42990,136.0,True,SOLO CAR SALES,Andalucía
5373,SEAT,Leon,12500,Gasolina,2015.0,77000,150.0,False,c6805beda07a549c6ab56e50e7228905,Catalunya
5374,VOLKSWAGEN,Polo,5500,Gasolina,2011.0,153538,85.0,False,83e831384d4468a756f3d0433783807d,Andalucía
5375,PEUGEOT,1007,1400,Diésel,2005.0,240000,70.0,False,b2a7d47edf886d78982b0d3482582a34,Catalunya
5376,VOLKSWAGEN,Polo,14500,Gasolina,2016.0,27951,150.0,True,Catalunya Wagen,Catalunya
5377,LAND-ROVER,Defender,1300,Diésel,2001.0,290000,122.0,False,ee17dc479d8eb9848d89de4ae67b526d,Islas_Baleares
5378,VOLKSWAGEN,Polo,1750,Gasolina,2008.0,180000,60.0,False,d095bf313757bed32549a91cd1534588,Islas_Baleares
5379,SKODA,Fabia,7490,Gasolina,2015.0,35347,60.0,True,Autos Madrid,Comunidad_de_Madrid
5380,ABARTH,500,24600,Gasolina,2019.0,9900,180.0,False,085b65f335899485416100101e46bd6e,Comunidad_de_Madrid
5381,RENAULT,Clio,6500,Diésel,2016.0,230000,90.0,True,DL Motor,Andalucía
5382,VOLKSWAGEN,Grand California,29000,Diésel,2020.0,0,177.0,True,"Centrowagen, S.L.",Extremadura
5383,MERCEDES-BENZ,Clase GLA,28000,Diésel,2018.0,18000,136.0,False,63fb1088241b0acdd7987af0c1f4f7e6,Castilla_La_Mancha
5384,KIA,Carens,4900,Diésel,2008.0,131000,119.50746268656717,False,beb75eb69c3862bcd8f5722e1cfb0227,Región_de_Murcia
5385,BMW,Serie 5,20680,Diésel,2015.0,103000,190.0,True,J Casañ Automóviles SL,Comunidad_Valenciana
5386,FORD,Focus,8500,Diésel,2016.0,139000,120.0,True,Piniauto Motor,Comunidad_de_Madrid
5387,RENAULT,Megane,600,Gasolina,1998.0,229706,142.70093457943926,False,1d26fae2f0c40b687f1f1e46b3174fbb,Castilla_La_Mancha
5388,PEUGEOT,208,5999,Diésel,2014.0,87000,68.0,False,53ebf52670884cbf2d72dec7de4be481,Canarias
5389,FORD,Focus,3800,Diésel,2008.0,226000,109.0,False,1a054b9e92d2152d185c99911b65beef,Navarra
5390,BMW,Serie 7,6200,Gasolina,2002.0,153000,333.0,False,27d2abba75fc7ec93e9c625fe3af8467,Comunidad_de_Madrid
5391,PORSCHE,Cayenne,11000,Gasolina,2005.0,319150,340.0,True,Johnnie Pyston,Comunidad_de_Madrid
5392,PEUGEOT,308,17985,Diésel,2016.0,67294,180.0,True,Seven Cars Automocion,Comunidad_Valenciana
5393,CHEVROLET,Captiva,14900,Diésel,2010.0,77000,150.0,False,52a69c5ccd351fb7e47a0976e79cf159,Catalunya
5394,FIAT,Ducato,23600,Diésel,2020.0,1,140.0,True,Urbi Motor,País_Vasco
5395,MINI,MINI,3200,Gasolina,2003.0,130000,90.0,False,67042da1f0dfaa9355539dfcdc0165ff,Andalucía
5396,CITROEN,Grand C4 Picasso,6500,Diésel,2012.0,155000,112.0,True,CARS SANT-ADRIAN,Catalunya
5397,BMW,Serie 7,56000,Diésel,2017.0,24118,265.0,True,LURAUTO BIZKAIA,País_Vasco
5398,MERCEDES-BENZ,GLA,24800,Gasolina,2019.0,26385,122.0,True,Click Autos,Comunidad_Valenciana
5399,TESLA,Model X,73900,Eléctrico,2018.0,35000,525.0,False,556beda6725423548245093854f167ac,Catalunya
5400,RENAULT,Clio,16500,Diésel,2020.0,50,115.0,True,Vicauto,Castilla_y_León
5401,PEUGEOT,5008,25900,Gasolina,2019.0,11000,130.0,True,Ferto Valencia,Comunidad_Valenciana
5402,FORD,Transit,19965,Diésel,2019.0,37540,130.0,True,Vidal Movil,Comunidad_de_Madrid
5403,OPEL,Astra,7000,Diésel,2014.0,185000,116.09283819628648,False,0bc24d6453cd7013f80f2a3a700ac703,Extremadura
5404,PEUGEOT,508,11499,Híbrido,2014.0,133000,200.0,False,3f128e570b3a9009d7b52a0523af43dd,Castilla_y_León
5405,CITROEN,C4 Picasso,4999,Diésel,2011.0,229000,112.0,True,Multimarcas Melicar,Galicia
5406,FORD,Focus,2500,Diésel,2006.0,263000,136.0,False,909157091896598a8b0d30119629705b,Catalunya
5407,MERCEDES-BENZ,GLC Coupe,56500,Gasolina,2017.0,60600,367.0,True,Fourmotion Cars,Comunidad_de_Madrid
5408,AUDI,TT,19799,Diésel,2013.0,45000,170.0,False,ffbf81ceda96dd19d9dfbd3530a4dc13,Comunidad_Valenciana
5409,AUDI,A3,6300,Diésel,2006.0,163000,140.0,True,Nielsen Cars,Catalunya
5410,AUDI,A3,10990,Diésel,2011.0,103710,105.0,True,Flexicar Barcelona,Catalunya
5411,AUDI,A8,3850,Gasolina,1996.0,299000,300.0,False,78e2e2bc08d818511306346dfb97389c,Castilla_y_León
5412,ABARTH,500,28300,Gasolina,2020.0,5,180.0,True,Automóviles Cervera,Castilla_y_León
5413,MINI,MINI,3490,Gasolina,2002.0,180000,90.0,True,GasDuckGarage,Comunidad_de_Madrid
5414,OPEL,Astra,8500,Diésel,2016.0,90000,110.0,False,ed1b67ed42d74ed6d973336b7bd5eae8,Catalunya
5415,VOLKSWAGEN,Transporter,1950,Diésel,1994.0,500000,111.06410256410255,False,a208a1dbed72a7c5f6b0c8c660c75766,Comunidad_Valenciana
5416,SEAT,Toledo,1000,Gasolina,2000.0,367000,119.5,False,dc1d67d1a5e9d52940945516548c8ec3,Aragón
5417,KIA,ceed,13500,Diésel,2018.0,58000,136.0,True,Tifossi Motor,Comunidad_de_Madrid
5418,MERCEDES-BENZ,Clase C,24990,Diésel,2014.0,69990,170.0,True,Flexicar Valencia,Comunidad_Valenciana
5419,RENAULT,Scenic,800,Diésel,2000.0,290000,114.16666666666669,False,cb34b39bc621c20d3157b4db300db306,Andalucía
5420,PEUGEOT,406,1500,Diésel,2000.0,329000,108.4,False,df75c1ed581db1ae00cdfef9081f0cbb,Catalunya
5421,MERCEDES-BENZ,Clase C,13500,Diésel,2010.0,194000,166.58011049723757,False,262031397020fd8df478ec13b4b096c5,Comunidad_de_Madrid
5422,SEAT,Alhambra,3000,Diésel,2003.0,317000,145.71014492753622,False,7b1c15d0c54e4214ba6947cb8293ca81,Galicia
5423,NISSAN,Primera,1200,Diésel,2000.0,266000,90.0,False,8202749081de3f6e80b013b81a657294,Andalucía
5424,MERCEDES-BENZ,Clase C,23000,Diésel,2017.0,60000,170.0,True,Gestión Directa de Vehículos,Comunidad_de_Madrid
